id,listing_url,name,picture_url,host_name,host_response_rate,host_is_superhost,host_has_profile_pic,host_thumbnail_url,host_picture_url,neighbourhood,property_type,bedrooms,bathrooms,price,weekly_price,monthly_price,availability_365,longitude,latitude,number_of_reviews,review_scores_rating,reviews_per_month
24337398,https://www.airbnb.com/rooms/24337398,Donatello Hotel,https://a0.muscache.com/im/pictures/3bf6730d-0243-4f7f-b4bf-e95f157d322f.jpg?aki_policy=large,Jim,100%,f,t,https://a0.muscache.com/im/pictures/613fac06-3200-42d9-ace9-171681d22a45.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/613fac06-3200-42d9-ace9-171681d22a45.jpg?aki_policy=profile_x_medium,Downtown,Condominium,0,1,265.00,,,1,-122.4098182,37.7882681,2,100,0.77
24348388,https://www.airbnb.com/rooms/24348388,Lux 1BR in South of Market district w/gym & wifi,https://a0.muscache.com/im/pictures/0f75f697-ccba-4c5e-9615-0ad070b7f5cc.jpg?aki_policy=large,Mike,98%,f,t,https://a0.muscache.com/im/users/9419684/profile_pic/1427816343/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9419684/profile_pic/1427816343/original.jpg?aki_policy=profile_x_medium,SoMa,Apartment,1,1,235.00,,,1,-122.3986644,37.78014216,0,,
24352586,https://www.airbnb.com/rooms/24352586,ROAM SF: Grand Suite in Historic Alamo Sq. Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,48,-122.4328557,37.77660247,9,100,3.38
24352708,https://www.airbnb.com/rooms/24352708,ROAM SF: Unique Living Experience,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,36,-122.4344355,37.77842368,4,100,1.3
24353186,https://www.airbnb.com/rooms/24353186,ROAM SF: Alamo Sq. Mansion ft. Co-working,https://a0.muscache.com/im/pictures/b826742f-defe-402c-8c73-10bb44ce888d.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,43,-122.4326662,37.77841455,0,,
24353415,https://www.airbnb.com/rooms/24353415,ROAM SF: Grand Suite in Alamo Sq. Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,61,-122.4342259,37.7770846,3,100,0.95
24353515,https://www.airbnb.com/rooms/24353515,ROAM SF: Spacious Suite in Iconic Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,34,-122.4334113,37.77679708,1,100,0.36
24354551,https://www.airbnb.com/rooms/24354551,ROAM SF: Living Experience in Alamo Sq. Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,31,-122.4339815,37.77827397,3,100,1.11
24354634,https://www.airbnb.com/rooms/24354634,ROAM SF: Spacious Room in Iconic Alamo Sq. Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,22,-122.4340849,37.77786798,10,100,3.37
24354841,https://www.airbnb.com/rooms/24354841,ROAM SF: Alamo Sq. Historic Archbishop's Mansion,https://a0.muscache.com/im/pictures/717f7848-37aa-43ed-92cd-b04a6fc78b50.jpg?aki_policy=large,Roam,100%,f,t,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5f673710-90c1-4a3d-bb36-6a53213975ed.jpg?aki_policy=profile_x_medium,Alamo Square,Boutique hotel,1,1,160.00,,,49,-122.4340173,37.77676111,12,100,4.56
